City,Cloud Cover,Country,Date,Humidity,Lat,Lon,Temp,Wind Speed
Esperance,0,AU,1562176873,71,-33.86,121.89,51.8,14.99
Narsaq,20,GL,1562177631,41,60.91,-46.05,60.8,13.87
Port Elizabeth,1,US,1562177631,55,39.31,-74.98,91.99,10.29
Lavrentiya,4,RU,1562177131,73,65.58,-170.99,52.64,7.05
Atuona,20,PF,1562177041,66,-9.8,-139.03,80.36,9.86
Morondava,0,MG,1562177631,76,-20.3,44.28,76.76,22.79
Jumla,95,NP,1562177632,96,29.28,82.18,56.78,2.82
Jumla,95,NP,1562177632,96,29.28,82.18,56.78,2.82
Jumla,95,NP,1562177632,96,29.28,82.18,56.78,2.82
Hithadhoo,48,MV,1562177632,78,-0.6,73.08,83.78,14.14
Puerto Ayora,75,EC,1562177632,61,-0.74,-90.35,77.0,19.46
Ilulissat,40,GL,1562177632,70,69.22,-51.1,42.8,8.05
Ilulissat,40,GL,1562177632,70,69.22,-51.1,42.8,8.05
Phan Thiet,93,VN,1562177633,95,10.93,108.1,71.18,3.58
Punta Arenas,40,CL,1562177633,80,-53.16,-70.91,35.01,9.17
Rikitea,100,PF,1562177535,81,-23.12,-134.97,63.98,18.72
Kodiak,40,US,1562177633,31,39.95,-94.76,89.01,9.17
Saint-Philippe,1,CA,1562177633,48,45.36,-73.48,89.01,3.36
Hobart,0,AU,1562177501,93,-42.88,147.33,41.0,5.82
Kavieng,40,PG,1562177532,71,-2.57,150.8,83.24,3.74
Ushuaia,0,AR,1562177634,92,-54.81,-68.31,30.2,6.93
Leningradskiy,100,RU,1562177634,96,69.38,178.42,36.44,6.67
Bluff,4,AU,1562177634,87,-23.58,149.07,57.32,10.76
Avarua,0,CK,1562177541,56,-21.21,-159.78,71.6,13.87
Geraldton,75,CA,1562177102,50,49.72,-86.95,78.8,10.29
Tuatapere,35,NZ,1562177634,88,-46.13,167.69,46.0,4.0
Lebu,75,ET,1562177634,82,8.96,38.73,60.8,4.7
Atar,22,MR,1562177119,6,20.52,-13.05,113.12,14.58
Atar,22,MR,1562177119,6,20.52,-13.05,113.12,14.58
Sinnamary,0,GF,1562177559,76,5.38,-52.96,80.72,12.15
Tura,0,RU,1562177635,46,64.27,100.22,56.24,4.81
Severo-Kurilsk,100,RU,1562177635,99,50.68,156.12,42.56,7.11
Castro,40,CL,1562177065,87,-42.48,-73.76,46.4,5.82
Karpathos,0,GR,1562177635,80,35.51,27.21,74.6,8.46
Birao,89,CF,1562177635,57,10.3,22.78,82.7,5.01
Perth,0,AU,1562177482,42,-31.95,115.86,66.99,16.11
Yalvac,0,TR,1562177636,43,38.3,31.18,64.88,1.39
Mataura,60,NZ,1562177077,88,-46.19,168.86,46.99,4.0
Port-Gentil,20,GA,1562177636,88,-0.72,8.78,75.2,13.87
Albany,1,US,1562177505,45,42.65,-73.75,89.01,2.19
Busselton,92,AU,1562177046,45,-33.64,115.35,61.0,26.62
Riyadh,5,SA,1562177390,8,24.63,46.72,102.2,13.87
Peniche,40,PT,1562177636,60,39.36,-9.38,73.0,9.17
Talnakh,0,RU,1562177083,60,69.49,88.39,69.8,2.24
Kapaa,75,US,1562177637,88,22.08,-159.32,75.99,4.7
Sao Gabriel da Cachoeira,40,BR,1562177134,74,-0.13,-67.09,82.4,9.17
Coquimbo,0,CL,1562177410,67,-29.95,-71.34,57.2,12.75
Saskylakh,100,RU,1562177637,73,71.97,114.09,49.58,6.2
Ialibu,100,PG,1562177637,99,-6.28,143.99,64.52,2.28
Podebrady,0,CZ,1562177637,32,50.14,15.12,71.6,13.87
Arraial do Cabo,0,BR,1562177648,40,-22.97,-42.02,91.4,5.82
Goderich,83,CA,1562177590,54,43.74,-81.71,84.99,3.0
Jamestown,3,AU,1562177468,90,-33.21,138.6,44.72,7.58
Ikryanoye,0,RU,1562177648,37,46.1,47.74,84.0,15.66
New Norfolk,0,AU,1562177561,93,-42.78,147.06,41.0,5.82
Chipinge,0,ZW,1562177648,63,-20.19,32.62,61.28,6.04
High Prairie,100,CA,1562177648,72,55.43,-116.48,59.3,8.25
Saint-Augustin,1,CA,1562177648,45,45.63,-73.98,89.01,10.29
Sambava,56,MG,1562177649,96,-14.27,50.17,65.24,3.31
Bambous Virieux,75,MU,1562177649,94,-20.34,57.76,69.8,3.36
Lamu,100,CN,1562177649,80,35.77,102.37,51.56,1.16
Hilo,75,US,1562177649,68,19.71,-155.08,77.0,6.93
Hilo,75,US,1562177649,68,19.71,-155.08,77.0,6.93
Hilo,75,US,1562177649,68,19.71,-155.08,77.0,6.93
Mar del Plata,5,AR,1562177439,59,-46.43,-67.52,34.64,10.0
Port Hardy,90,CA,1562177650,93,50.7,-127.42,55.4,4.7
Coahuayana,100,MX,1562177650,64,18.62,-100.35,86.3,1.41
Nanortalik,31,GL,1562177258,90,60.14,-45.24,36.8,0.47
Upernavik,50,GL,1562177528,82,72.79,-56.15,41.3,3.4
Upernavik,50,GL,1562177528,82,72.79,-56.15,41.3,3.4
Prince Rupert,90,CA,1562177630,100,54.32,-130.32,53.6,3.36
Kalmunai,84,LK,1562177650,72,7.42,81.82,79.28,3.31
Kalmunai,84,LK,1562177650,72,7.42,81.82,79.28,3.31
Lata,18,IN,1562177650,75,30.78,78.62,45.62,5.17
Bredasdorp,17,ZA,1562177525,72,-34.53,20.04,60.8,5.82
Cherskiy,54,RU,1562177062,73,68.75,161.3,42.74,7.02
Cherskiy,54,RU,1562177062,73,68.75,161.3,42.74,7.02
Cape Town,20,ZA,1562177079,87,-33.93,18.42,59.0,4.7
Meadow Lake,75,CA,1562177651,71,54.13,-108.44,57.2,13.87
Muravlenko,100,RU,1562177651,51,63.79,74.5,74.6,13.18
Makhinjauri,75,GE,1562177651,83,41.67,41.69,73.4,3.36
Alta Floresta,0,BR,1562177651,36,-9.87,-56.08,93.2,5.82
Alta Floresta,0,BR,1562177651,36,-9.87,-56.08,93.2,5.82
Grindavik,75,IS,1562177652,81,63.84,-22.43,51.8,11.41
Abonnema,100,NG,1562177652,88,4.71,6.79,76.58,8.43
Mangrol,97,IN,1562177652,52,25.33,76.51,90.44,2.75
Alofi,98,NU,1562177652,73,-19.06,-169.92,73.4,13.87
Nuevo Progreso,75,US,1562177652,55,26.05,-97.95,93.2,19.46
Lukovetskiy,75,RU,1562177653,87,64.29,41.92,59.0,4.47
Lukovetskiy,75,RU,1562177653,87,64.29,41.92,59.0,4.47
Lethem,96,GY,1562177549,78,3.38,-59.8,79.1,11.61
Tarko-Sale,85,RU,1562177653,43,64.92,77.78,72.62,9.4
Salalah,90,OM,1562177175,94,17.01,54.1,82.4,8.05
Taoudenni,46,ML,1562177653,6,22.68,-3.98,113.66,9.93
Taoudenni,46,ML,1562177653,6,22.68,-3.98,113.66,9.93
Rio Gallegos,20,AR,1562177653,74,-51.62,-69.22,33.8,2.24
Vestmannaeyjar,90,IS,1562177654,100,63.44,-20.27,51.8,11.41
Walvis Bay,0,NA,1562177654,21,-22.95,14.51,78.8,5.82
Vaini,92,IN,1562177654,86,15.34,74.49,78.38,6.49
Mogocha,100,RU,1562177654,82,53.73,119.76,48.32,9.55
Yellowknife,75,CA,1562177526,71,62.45,-114.38,55.4,14.99
Yellowknife,75,CA,1562177526,71,62.45,-114.38,55.4,14.99
Yellowknife,75,CA,1562177526,71,62.45,-114.38,55.4,14.99
Axim,100,GH,1562177153,87,4.87,-2.24,77.84,12.64
Dikson,100,RU,1562177665,86,73.51,80.55,37.16,10.38
Clyde River,90,CA,1562177665,93,70.47,-68.59,35.6,13.87
Ishigaki,100,JP,1562177665,84,24.34,124.16,84.68,20.8
